QuestionKey,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_TP10,Alpha_TP9,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,HSI_TP9_flag,HSI_TP10_flag,HSI_AF7_flag,HSI_AF8_flag,Student,fix_count,fix_mean_dur,fix_max_dur,fix_dur_var,fix_disp_mean,fix_disp_max,fix_x_var,fix_y_var,sac_count,sac_mean_dur,sac_amp_max,sac_vel_mean,sac_vel_max,sac_acc_mean,sac_dec_mean,sac_dir_var,fix_valid,sac_valid,fix_sac_count_ratio,fix_rate,sac_rate,Gaze X,Gaze Y,Interpolated Distance,Gaze Velocity,Gaze Acceleration,ET_GazeLeftx,ET_CameraLeftX,ET_CameraLeftY,ET_ValidityLeft,Difficulty,ResponseTime
1Item1,0.8275830202182285,0.6142664091848523,0.8025914179994437,1.1256729379075738,0.7328178729824562,0.9154368367907574,0.8968791485537013,1.1923275714163457,0.5696347450919982,-0.31611903389816004,-0.09888141436478391,1.2994108119383825,-0.11874555162344887,-0.02748412824768667,0.14616423424462452,0.9985790064970448,-0.6056821249364838,2.5938152399744596,0.0,0.0,0.0,0.0,1,801.0,446.95321535580587,950.27350000001,80307.11927417194,0.18347350762850492,0.23042855996068,209981.37618100972,62752.427317987465,99.0,44.34969696969531,15.1477243374501,231.32082233191176,475.637763737273,8350.315834877447,-10980.790932921596,10980.384129832468,1.0,1.0,8.09090827364563,0.0022373706366023076,0.022548068330787686,869.3798235942668,542.1653803748621,578.5021753616082,24.67213325148737,-215.32381175745127,864.2527233115468,0.5970106685213533,0.49075683240407425,0.049019607843137254,0.0,7.654472000009264
1Item10,1.0681608808732876,0.6054791822120174,0.826938080699175,1.2244464759059777,0.8459773942543587,0.9995959944053548,1.120050255986924,1.1449084133405978,0.5937659559573475,-0.2928313572972447,-0.1209227383625934,1.3220362149595266,-0.06823602042034559,-0.022441346202959605,0.14768389064080986,0.9985512036315234,-0.5993677759229914,2.6090423850015565,0.0,0.0,0.0,0.0,1,2005.0,322.5707347132185,599.910450000025,17282.845101666793,0.2305713588671272,0.514245968291448,197900.20199561067,30214.385669769443,349.0,50.4517567335218,17.1841133325303,229.74318574181726,669.737052298449,9484.892464064938,-9602.369779987186,12635.103682444134,1.0,1.0,5.744985508739671,0.003100095242284109,0.019820915349170246,853.7572553897181,565.0675787728027,577.084809488325,31.186753110472583,-75.25838159203607,836.1647524752475,0.6058274413807557,0.49133089591961093,0.10178217821782178,2.0,21.04241419999744
1Item2,0.9608429223902331,0.3656535046888441,0.6802434346440412,1.367405070810932,0.8086851342853942,0.8481617257078854,1.1264932237477598,1.1186660115098566,0.5267592787410393,-0.38499046696012545,-0.21867080951512097,1.2727374047939068,-0.17864086334162185,-0.03048678709187388,0.14692447347880264,0.9983797791183636,-0.5888102473323917,2.600729474030088,0.0,0.0,0.0,0.0,1,1506.0,417.90908120848866,1099.87159999995,80432.03807712201,0.20402954755978783,0.390158164727669,97922.18651927913,34218.28089831669,202.0,43.17241435643821,14.1618640112412,196.92479841412606,578.119902821149,7163.890088185277,-9248.087787515144,12143.25482637538,1.0,1.0,7.455445175473011,0.002392864967404779,0.023162938968322767,909.0662020905924,521.8905342624855,579.9967169855807,23.67762221115652,-148.16047999508984,899.6067351598174,0.5992682156021192,0.49130405308721264,0.06164383561643835,0.0,14.597205400001258
1Item3,0.8823686315692124,0.4689132229744829,0.805099545982498,1.0335016654534606,0.6919012173229913,0.6399643075049721,0.9352209481503581,1.0001875785242642,0.525848687746619,-0.3516345740493238,-0.2070624243001193,1.2657175130270486,-0.18709234984416667,-0.028537079561486923,0.14826207855151774,0.9983831874510554,-0.5842125102842053,2.596484679690219,0.0,0.0,0.0,0.0,1,1611.0,276.8521999379284,500.007000000012,11912.220992415856,0.20533248518356836,0.54816649385711,183891.675763855,33144.16782649273,264.0,41.163792045453725,17.7257603122597,177.2479345182366,562.836758959756,6500.33917424962,-8008.258907845356,13036.504993108862,1.0,1.0,6.102272496126043,0.0036120355922827554,0.024293194319308268,1003.6076280041797,522.3228840125391,578.8031956145508,26.22019561726393,-146.53162459946054,995.2286292362165,0.5990858779872494,0.49158855993818856,0.08497723823975721,0.0,16.47656550000829
1Item4,0.804392900949804,0.5384069694323568,0.6047195414995334,1.2693740078802014,0.6891189236238104,0.8079400344597872,1.035323961136406,0.9148567534969211,0.5360724548945699,-0.3957439129800336,-0.22288258258925173,1.2438548248927037,-0.18851291583978727,-0.028743276224138133,0.15099438216886896,0.9981749816313678,-0.5992564952157731,2.5830322994538975,0.0,0.040492629221869754,0.0,0.0,1,1770.0,330.59002573445963,749.968449999986,35034.55616572437,0.20499231370646356,0.353208572496859,131180.8157989612,36622.47363602006,256.0,45.05057499999928,16.5340337007754,191.32293941617323,570.458220502754,7453.058473544783,-8591.64209663156,13877.714821814703,1.0,1.0,6.914062229919445,0.003024894649381049,0.022197274932294096,857.9198343079922,507.2334307992203,579.4790808545683,25.169221426022258,-145.0180221827026,851.7350427350427,0.6007985339941349,0.4918273357216336,0.07739791073124407,1.0,17.546051800003625
1Item5,0.8197177217593643,0.5551928619780552,0.7374505474426788,1.185292229366881,0.5934806188497919,0.9382312588434859,1.024441497301047,1.1784778402850298,0.5473527997086645,-0.37620980338251986,-0.20449651620469164,1.3074193453020557,-0.15487100885033422,-0.02529771361950593,0.15074085548796348,0.9982906923211077,-0.5911175211496169,2.590746976400417,0.0001261193088661874,0.015764913608273427,0.0001261193088661874,0.0001261193088661874,1,2714.0,379.8516298083966,849.908750000002,30975.618727601253,0.22544403243989747,0.473281241431139,205194.20288061214,21304.57096871308,357.0,44.67435588235368,20.4215600957866,204.77727888045916,589.881281439542,8260.825746032928,-8737.537721160188,13296.521341973435,1.0,1.0,7.602240683410626,0.002632606843084276,0.022384206321998484,840.3053040103492,516.8581824062096,578.4462483098869,24.34170635313043,-50.21243067334142,831.93056,0.6013826044654845,0.49165525485992423,0.048,1.0,26.0444800999976
1Item6,0.7533243496267553,0.6894831167960089,0.9479618064971915,0.9710224280007391,0.6166810176274945,0.7604154483481154,0.9997577189874353,1.087819194752402,0.5236725972099039,-0.385831531067997,-0.22546150734999998,1.3751125445306727,-0.18043417349741317,-0.02703985988168653,0.150739513321092,0.9980519725407659,-0.5926792232177914,2.5883068865700642,0.0,0.0,0.0,0.0,1,880.0,323.981977386361,633.227100000018,17718.615914452606,0.22052859024576324,0.438753586799329,136622.71011327673,24510.690154032436,134.0,43.95897238805771,13.3177268037253,202.02347259086343,776.028649037,7970.537177830983,-9850.787542713226,15995.446247156915,1.0,1.0,6.567163689017635,0.0030865914457099152,0.022748484415755384,760.2053398058252,490.2888349514563,578.5392112065289,26.135562417425312,-81.0572290010063,751.1834600760457,0.6039913348258675,0.4918216502598483,0.08269961977186312,1.0,8.765434700006153
1Item7,0.9010175142904655,0.4321852446304509,0.71273319109017,0.7583679972838139,0.7385372201182557,1.0108492502734663,1.0370434064597192,1.2088632827420545,0.5395534992756836,-0.3440490564375462,-0.20498569499434588,1.347199447856615,-0.13865877551552105,-0.023360653445179694,0.1485636077452305,0.9982593477168792,-0.6161209185389528,2.5746270382043086,0.0,0.0,0.0,0.0,1,875.0,391.9885410857099,874.648999999976,45406.61735848164,0.25589615456342907,0.406164463128828,199742.82954005443,23009.248517775377,108.0,44.13756620370097,17.3921468032584,223.92911508856943,734.584050667156,8828.374764958704,-9688.449241099901,14430.251197681227,1.0,1.0,8.101851101680454,0.0025510949815040393,0.022656437223725557,660.3786692759295,522.0195694716243,577.5852395373082,26.19192027770662,-34.78171156569043,654.310861423221,0.6037117875693889,0.49115137725175545,0.09176029962546817,2.0,8.89840630000981
1Item8,0.8622382252409397,0.2883087297826882,0.6378296497423338,1.0526426851373956,0.767938930350458,0.8661640867124651,1.1126899573715652,1.1531426720828355,0.5405153167542811,-0.37975924003584227,-0.24818960168478696,1.348986434707288,-0.15860124022565314,-0.02654701150873656,0.14956953078330346,0.9983488665496814,-0.59641602218792,2.60482742510104,0.0,0.0,0.0,0.0,1,1639.0,483.7676619280017,1149.90615,83787.82349601938,0.22087323802113173,0.367366267741899,202806.04313713737,35290.74686728742,230.0,50.84256260869923,16.9971341014252,227.72329577542186,622.824546507735,9060.054607689653,-9286.348191157,13655.747518369653,1.0,1.0,7.126086646691885,0.0020671079914726014,0.01966856011647501,844.3546267087277,477.1777076761304,577.2133641769459,25.968446434635236,-68.99855296825992,853.0172151898735,0.604673478180849,0.4908760040319418,0.09468354430379747,2.0,16.455399600003147
1Item9,1.0185770667854719,0.7300053166639511,0.9711090357291243,0.7961359775084861,0.8407040998302784,0.9687912636761711,1.0583502553971487,1.2337572420706042,0.6153684050339443,-0.34639759090970806,-0.27028415834351666,1.3440085246775288,-0.10359510866875764,-0.02423590862742914,0.14813414740060676,0.9986773229988756,-0.5998094277728275,2.553702546719864,0.0,0.0,0.0,0.0,1,980.0,345.90502454081457,608.340550000023,23318.556612103108,0.22119194440010878,0.341539546989858,156994.85301313238,26728.054227634453,146.0,48.415542808220614,16.4433628450875,232.3334758725096,732.986366940563,9022.292059753647,-10061.136630157498,13002.27658926999,1.0,1.0,6.712328307374773,0.002890966967877932,0.020654524158624402,842.453250222618,519.0632235084595,577.3722602932559,28.137391667013798,-120.57158953796929,827.7178602243313,0.6046086851124932,0.49092880014821927,0.09404659188955997,2.0,9.659429499995897
